"Source:","/home/aleksandr/Kuzma30/KeySwitchESP32/ESP2866_Dimmer/dimmer/dimmer.kicad_sch"
"Date:","нд, 10-лип-2022 15:00:15 +0300"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","43"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","2.2","Device:CP","Capacitor_SMD:CP_Elec_4x5.3",""
"","","C2","10uF","Device:CP","Capacitor_SMD:CP_Elec_4x5.3",""
"","","C3","10uF","Device:CP","Capacitor_SMD:CP_Elec_4x5.3",""
"","","D1","1N4003","Diode:1N4003","Diode_SMD:D_SMA","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","F1","Fuse","Device:Fuse","Fuse:Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder","~"
"","","J1","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","~"
"","","J2","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal","~"
"","","J3","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","~"
"","","J4","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_Stocko:Stocko_MKS_1654-6-0-404_1x4_P2.50mm_Vertical","~"
"","","J5","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","Connector_JST:JST_NV_B04P-NV_1x04_P5.00mm_Vertical","~"
"","","J6","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical","~"
"","","K1","TIANBO-HJR-4102-L","Relay:TIANBO-HJR-4102-L","Relay_THT:Relay_SPDT_HJR-4102","https://cdn-reichelt.de/documents/datenblatt/C300/DS_HJR4102E.pdf"
"","","Q1","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf"
"","","R1","10k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R2","10k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R3","0","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R4","110","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R5","0","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R6","0","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R7","470","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R8","165","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R9","250","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R10","330","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R11","0","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R12","330","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R13","240","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R14","250","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R15","0","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"","","R16","330","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
